Name,Ticker,Party,Chamber,State,Buy Date,Sell Date
Daniel S. Goldman,CFG,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,CHPT,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,CHX,Democrat,House,NY,2023-2-28,2023-6-28
Daniel S. Goldman,CLF,Democrat,House,NY,2023-4-9,2023-6-28
Daniel S. Goldman,CME,Democrat,House,NY,2023-1-30,2023-2-9
Daniel S. Goldman,CNC,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,COF,Democrat,House,NY,2023-1-30,2023-4-9
Daniel S. Goldman,CVS,Democrat,House,NY,2023-1-30,2023-4-9
Daniel S. Goldman,DAL,Democrat,House,NY,2023-1-30,2023-3-5
Daniel S. Goldman,DAR,Democrat,House,NY,2023-3-6,2023-7-13
Daniel S. Goldman,DEO,Democrat,House,NY,2023-1-12,2023-7-9
Daniel S. Goldman,DG,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,DLTR,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,ENPH,Democrat,House,NY,2023-3-5,2023-4-9
Daniel S. Goldman,EPAM,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,EQR,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,ERIC,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,ES,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,EWBC,Democrat,House,NY,2023-1-30,2023-4-9
Daniel S. Goldman,EXC,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,F,Democrat,House,NY,2023-1-30,2023-7-13
Daniel S. Goldman,FIS,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,FITB,Democrat,House,NY,2023-1-30,2023-4-9
Daniel S. Goldman,FLO,Democrat,House,NY,2023-3-5,2023-4-9
Daniel S. Goldman,FNF,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,GILD,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,GM,Democrat,House,NY,2023-1-30,2023-4-9
Daniel S. Goldman,GRFS,Democrat,House,NY,2023-2-26,2023-3-30
Daniel S. Goldman,HAL,Democrat,House,NY,2023-2-28,2023-6-28
Daniel S. Goldman,HLN,Democrat,House,NY,2023-1-12,2023-7-9
Daniel S. Goldman,HPQ,Democrat,House,NY,2023-1-30,2023-3-5
Daniel S. Goldman,HRL,Democrat,House,NY,2023-3-5,2023-4-9
Daniel S. Goldman,HSBC,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,IFF,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,IHG,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,ING,Democrat,House,NY,2023-3-30,2023-7-9
Daniel S. Goldman,INVH,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,JAZZ,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,JBGS,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,JHX,Democrat,House,NY,2023-2-26,2023-7-9
Daniel S. Goldman,JNJ,Democrat,House,NY,2023-2-2,2023-7-13
Daniel S. Goldman,KDP,Democrat,House,NY,2023-1-30,2023-7-11
Daniel S. Goldman,KHC,Democrat,House,NY,2023-4-9,2023-7-11
Daniel S. Goldman,KO,Democrat,House,NY,2023-3-5,2023-7-13
Daniel S. Goldman,KR,Democrat,House,NY,2023-3-5,2023-7-11
Daniel S. Goldman,KRC,Democrat,House,NY,2023-3-5,2023-7-11
