Name,Ticker,Party,Chamber,State,Buy Date,Sell Date,Buy Price,Sell Price,Trade Return %,Market Buy Price,Market Sell Price,Market Return %,Overperformance %
Daniel S. Goldman,CB,Democrat,House,NY,2023-4-9,2023-7-11,192.15299744349485,188.08779907226562,-2.1156049738046137,4081.14990234375,4439.259765625,8.77472947209296,-10.890334445897572
Daniel S. Goldman,CCI,Democrat,House,NY,2023-4-9,2023-7-11,119.53330940318415,104.32083129882812,-12.726559801874599,4081.14990234375,4439.259765625,8.77472947209296,-21.501289273967558
Daniel S. Goldman,CFG,Democrat,House,NY,2023-4-9,2023-7-11,26.00894950881088,25.354764938354492,-2.515228730152185,4081.14990234375,4439.259765625,8.77472947209296,-11.289958202245144
Daniel S. Goldman,CHPT,Democrat,House,NY,2023-4-9,2023-7-11,9.25,8.930000305175781,-3.459456160261824,4081.14990234375,4439.259765625,8.77472947209296,-12.234185632354784
Daniel S. Goldman,CHX,Democrat,House,NY,2023-2-28,2023-6-28,30.82350937928005,28.29988670349121,-8.187330795906227,3977.18994140625,4376.85986328125,10.049052918344785,-18.236383714251012
Daniel S. Goldman,CLF,Democrat,House,NY,2023-4-9,2023-6-28,16.799999237060547,16.389999389648438,-2.4404753930443985,4081.14990234375,4376.85986328125,7.245751026387874,-9.686226419432273
Daniel S. Goldman,CME,Democrat,House,NY,2023-1-30,2023-2-9,159.5479736328125,165.85882568359375,3.955457350592992,4049.27001953125,4081.5,0.7959454497549411,3.159511900838051
Daniel S. Goldman,CNC,Democrat,House,NY,2023-1-30,2023-7-11,75.37000274658203,67.76000213623047,-10.096855954667813,4049.27001953125,4439.259765625,9.631112378593508,-19.727968333261323
Daniel S. Goldman,COF,Democrat,House,NY,2023-1-30,2023-4-9,111.62347894537709,91.45368194580078,-18.069493255488293,4049.27001953125,4105.02001953125,1.3767913656312234,-19.446284621119517
Daniel S. Goldman,CVS,Democrat,House,NY,2023-1-30,2023-4-9,81.25379032880477,71.68527221679688,-11.77608831943415,4049.27001953125,4105.02001953125,1.3767913656312234,-13.152879685065374
Daniel S. Goldman,DAL,Democrat,House,NY,2023-1-30,2023-3-5,37.74317723908288,38.155670166015625,1.0928940198113686,4049.27001953125,4045.639892578125,-0.08964892278399426,1.1825429425953629
Daniel S. Goldman,DAR,Democrat,House,NY,2023-3-6,2023-7-13,63.34000015258789,64.30999755859375,1.5314136464621213,4055.14990234375,4510.0400390625,11.217591153802667,-9.686177507340545
Daniel S. Goldman,DEO,Democrat,House,NY,2023-1-12,2023-7-9,168.72129378355825,159.505615234375,-5.462072002011469,3977.570068359375,4398.9501953125,10.593908333761453,-16.055980335772922
Daniel S. Goldman,DG,Democrat,House,NY,2023-1-30,2023-7-11,227.0752891120496,164.37533569335938,-27.611966790341125,4049.27001953125,4439.259765625,9.631112378593508,-37.243079168934635
Daniel S. Goldman,DLTR,Democrat,House,NY,2023-1-30,2023-7-11,150.3699951171875,147.50999450683594,-1.9019755956783033,4049.27001953125,4439.259765625,9.631112378593508,-11.533087974271812
Daniel S. Goldman,ENPH,Democrat,House,NY,2023-3-5,2023-4-9,213.36000061035156,191.0,-10.479940263585998,3998.02001953125,4105.02001953125,2.6763247676920154,-13.156265031278014
Daniel S. Goldman,EPAM,Democrat,House,NY,2023-4-9,2023-7-11,281.260009765625,232.3000030517578,-17.407382853561636,4081.14990234375,4439.259765625,8.77472947209296,-26.182112325654593
Daniel S. Goldman,EQR,Democrat,House,NY,2023-1-30,2023-7-11,57.89902313696352,63.55086898803711,9.761556490692108,4049.27001953125,4439.259765625,9.631112378593508,0.13044411209859952
Daniel S. Goldman,ERIC,Democrat,House,NY,2023-2-26,2023-7-9,5.066201521375486,4.946671962738037,-2.3593526260873374,3973.239990234375,4398.9501953125,10.714434721397563,-13.0737873474849
Daniel S. Goldman,ES,Democrat,House,NY,2023-3-5,2023-7-11,68.11051990881883,65.84500122070312,-3.3262390173333114,3998.02001953125,4439.259765625,11.036456644493827,-14.362695661827138
Daniel S. Goldman,EWBC,Democrat,House,NY,2023-1-30,2023-4-9,70.6293073136951,49.975955963134766,-29.241899908249025,4049.27001953125,4105.02001953125,1.3767913656312234,-30.61869127388025
Daniel S. Goldman,EXC,Democrat,House,NY,2023-3-5,2023-7-11,37.10560254993155,38.95439910888672,4.982526712690676,3998.02001953125,4439.259765625,11.036456644493827,-6.05392993180315
Daniel S. Goldman,F,Democrat,House,NY,2023-1-30,2023-7-13,10.655394484426369,13.390317916870117,25.667031252958655,4049.27001953125,4510.0400390625,11.3790885099974,14.287942742961254
Daniel S. Goldman,FIS,Democrat,House,NY,2023-4-9,2023-7-11,50.92011158737269,56.83083724975586,11.607841141983927,4081.14990234375,4439.259765625,8.77472947209296,2.833111669890968
Daniel S. Goldman,FITB,Democrat,House,NY,2023-1-30,2023-4-9,32.83969520181706,24.225893020629883,-26.229848140340117,4049.27001953125,4105.02001953125,1.3767913656312234,-27.60663950597134
Daniel S. Goldman,FLO,Democrat,House,NY,2023-3-5,2023-4-9,25.568881181923427,25.100147247314453,-1.8332203559237352,3998.02001953125,4105.02001953125,2.6763247676920154,-4.509545123615751
Daniel S. Goldman,FNF,Democrat,House,NY,2023-3-5,2023-7-11,34.85520892124831,34.15284729003906,-2.0150836932183145,3998.02001953125,4439.259765625,11.036456644493827,-13.05154033771214
Daniel S. Goldman,GILD,Democrat,House,NY,2023-3-5,2023-7-11,73.31042916029492,71.26811218261719,-2.785847799652293,3998.02001953125,4439.259765625,11.036456644493827,-13.82230444414612
Daniel S. Goldman,GM,Democrat,House,NY,2023-1-30,2023-4-9,35.894917523072664,33.863887786865234,-5.6582655048640715,4049.27001953125,4105.02001953125,1.3767913656312234,-7.0350568704952945
Daniel S. Goldman,GRFS,Democrat,House,NY,2023-2-26,2023-3-30,9.140000343322754,7.46999979019165,-18.27134015756494,3973.239990234375,3971.27001953125,-0.04958096435067832,-18.22175919321426
Daniel S. Goldman,HAL,Democrat,House,NY,2023-2-28,2023-6-28,35.90434625114234,31.3940486907959,-12.56198213107123,3977.18994140625,4376.85986328125,10.049052918344785,-22.611035049416017
